Dataset	PlexID
PTRC_Ex17_Plex1_G_f01_30Mar21_Rage_Rep-21-02-04	Plex1
PTRC_Ex17_Plex4_G_f02_30Mar21_Rage_Rep-21-02-04	Plex4
PTRC_Ex17_Plex2_G_f02_30Mar21_Rage_Rep-21-02-04	Plex2
PTRC_Ex17_Plex1_G_f02_30Mar21_Rage_Rep-21-02-04	Plex1
PTRC_Ex17_Plex3_G_f02_30Mar21_Rage_Rep-21-02-04	Plex3
PTRC_Ex17_Plex2_G_f01_30Mar21_Rage_Rep-21-02-04	Plex2
PTRC_Ex17_Plex3_G_f01_30Mar21_Rage_Rep-21-02-04	Plex3
PTRC_Ex17_Plex4_G_f01_30Mar21_Rage_Rep-21-02-04	Plex4
PTRC_Ex17_Plex2_G_f03_30Mar21_Rage_Rep-21-02-04	Plex2
PTRC_Ex17_Plex3_G_f04_30Mar21_Rage_Rep-21-02-04	Plex3
PTRC_Ex17_Plex4_G_f03_30Mar21_Rage_Rep-21-02-04	Plex4
PTRC_Ex17_Plex3_G_f03_30Mar21_Rage_Rep-21-02-04	Plex3
PTRC_Ex17_Plex1_G_f03_30Mar21_Rage_Rep-21-02-04	Plex1
PTRC_Ex17_Plex2_G_f04_30Mar21_Rage_Rep-21-02-04	Plex2
PTRC_Ex17_Plex1_G_f04_30Mar21_Rage_Rep-21-02-04	Plex1
PTRC_Ex17_Plex4_G_f04_30Mar21_Rage_Rep-21-02-04	Plex4
PTRC_Ex17_Plex1_G_f05_30Mar21_Rage_Rep-21-02-04	Plex1
PTRC_Ex17_Plex1_G_f06_30Mar21_Rage_Rep-21-02-04	Plex1
PTRC_Ex17_Plex4_G_f05_30Mar21_Rage_Rep-21-02-04	Plex4
PTRC_Ex17_Plex4_G_f06_30Mar21_Rage_Rep-21-02-04	Plex4
PTRC_Ex17_Plex3_G_f06_30Mar21_Rage_Rep-21-02-04	Plex3
PTRC_Ex17_Plex3_G_f05_30Mar21_Rage_Rep-21-02-04	Plex3
PTRC_Ex17_Plex2_G_f05_30Mar21_Rage_Rep-21-02-04	Plex2
PTRC_Ex17_Plex2_G_f06_30Mar21_Rage_Rep-21-02-04	Plex2
PTRC_Ex17_Plex3_G_f07_30Mar21_Rage_Rep-21-02-04	Plex3
PTRC_Ex17_Plex4_G_f07_30Mar21_Rage_Rep-21-02-04	Plex4
PTRC_Ex17_Plex2_G_f07_30Mar21_Rage_Rep-21-02-04	Plex2
PTRC_Ex17_Plex4_G_f08_30Mar21_Rage_Rep-21-02-04	Plex4
PTRC_Ex17_Plex1_G_f08_30Mar21_Rage_Rep-21-02-04	Plex1
PTRC_Ex17_Plex3_G_f08_30Mar21_Rage_Rep-21-02-04	Plex3
PTRC_Ex17_Plex2_G_f08_30Mar21_Rage_Rep-21-02-04	Plex2
PTRC_Ex17_Plex1_G_f07_30Mar21_Rage_Rep-21-02-04	Plex1
PTRC_Ex17_Plex1_G_f10_30Mar21_Rage_Rep-21-02-04	Plex1
PTRC_Ex17_Plex4_G_f09_30Mar21_Rage_Rep-21-02-04	Plex4
PTRC_Ex17_Plex2_G_f10_30Mar21_Rage_Rep-21-02-04	Plex2
PTRC_Ex17_Plex1_G_f09_30Mar21_Rage_Rep-21-02-04	Plex1
PTRC_Ex17_Plex3_G_f09_30Mar21_Rage_Rep-21-02-04	Plex3
PTRC_Ex17_Plex4_G_f10_30Mar21_Rage_Rep-21-02-04	Plex4
PTRC_Ex17_Plex2_G_f09_30Mar21_Rage_Rep-21-02-04	Plex2
PTRC_Ex17_Plex3_G_f10_30Mar21_Rage_Rep-21-02-04	Plex3
PTRC_Ex17_Plex2_G_f12_30Mar21_Rage_Rep-21-02-04	Plex2
PTRC_Ex17_Plex3_G_f12_30Mar21_Rage_Rep-21-02-04	Plex3
PTRC_Ex17_Plex1_G_f11_30Mar21_Rage_Rep-21-02-04	Plex1
PTRC_Ex17_Plex3_G_f11_30Mar21_Rage_Rep-21-02-04	Plex3
PTRC_Ex17_Plex2_G_f11_30Mar21_Rage_Rep-21-02-04	Plex2
PTRC_Ex17_Plex4_G_f11_30Mar21_Rage_Rep-21-02-04	Plex4
PTRC_Ex17_Plex1_G_f12_30Mar21_Rage_Rep-21-02-04	Plex1
PTRC_Ex17_Plex4_G_f12_30Mar21_Rage_Rep-21-02-04	Plex4
