PlexID	QuantBlock	ReporterName	ReporterAlias	MeasurementName
Plex1	1	126	01	01
Plex1	1	127N	05	05
Plex1	1	127C	09	09
Plex1	1	128N	13	13
Plex1	1	128C	17	17
Plex1	1	129N	21	21
Plex1	1	129C	22	22
Plex1	1	130N	31	31
Plex1	1	130C	32	32
Plex1	1	131N	33	33
Plex1	1	131C	Ref	NA
Plex2	1	126	02	02
Plex2	1	127N	06	06
Plex2	1	127C	10	10
Plex2	1	128N	14	14
Plex2	1	128C	18	18
Plex2	1	129N	23	23
Plex2	1	129C	24	24
Plex2	1	130N	34	34
Plex2	1	130C	35	35
Plex2	1	131N	36	36
Plex2	1	131C	Ref	NA
Plex3	1	126	03	03
Plex3	1	127N	07	07
Plex3	1	127C	15	15
Plex3	1	128N	19	19
Plex3	1	128C	25	25
Plex3	1	129N	26	26
Plex3	1	129C	27	27
Plex3	1	130N	28	28
Plex3	1	130C	29	29
Plex3	1	131N	30	30
Plex3	1	131C	Ref	NA
Plex4	1	126	04	04
Plex4	1	127N	08	08
Plex4	1	127C	12	12
Plex4	1	128N	16	16
Plex4	1	128C	20	20
Plex4	1	129N	37	37
Plex4	1	129C	38	38
Plex4	1	130N	39	39
Plex4	1	130C	40	40
Plex4	1	131N	11	11
Plex4	1	131C	Ref	NA
